feature_type,mode,start_layer,end_layer,best_epoch,train_auroc,train_auprc,train_log_loss,val_auroc,val_auprc,val_log_loss,test_auroc,test_auprc,test_log_loss
ffn,consecutive3,13,15,60,1.0,1.0,7.350476244299307e-06,1.0,1.0,2.922846024674895e-05,1.0,0.9999999999999999,1.1303796442320137e-05
ffn,consecutive3,14,16,60,1.0,1.0,8.84505945396496e-06,1.0,1.0,6.898720712639073e-05,1.0,0.9999999999999999,1.8359357768664207e-05
ffn,consecutive3,15,17,60,1.0,1.0,6.6834787144658394e-06,1.0,1.0,0.00017226897795753242,1.0,0.9999999999999999,6.240694015872927e-05
ffn,consecutive3,16,18,60,1.0,1.0,6.7967537366251355e-06,1.0,1.0,0.00029666300397841706,1.0,0.9999999999999999,0.00041574232096059657
ffn,consecutive3,17,19,60,1.0,1.0,5.5626322863505305e-06,1.0,1.0,0.00043250425703860373,1.0,0.9999999999999999,1.3459128119327978e-05
ffn,consecutive3,18,20,60,1.0,1.0,5.133289391327043e-06,1.0,1.0,0.0004777972480412842,1.0,0.9999999999999999,5.934413107938984e-06
ffn,consecutive3,19,21,60,1.0,1.0,6.930913742339876e-06,1.0,1.0,0.001381132647720881,1.0,0.9999999999999999,1.5025632913606421e-05
ffn,consecutive3,20,22,60,1.0,1.0,1.023241464435413e-05,1.0,1.0,0.0007108572483271221,1.0,0.9999999999999999,5.434225189175772e-05
ffn,consecutive3,21,23,60,1.0,1.0,9.68982306246272e-06,1.0,1.0,0.0010714388693967246,1.0,0.9999999999999999,0.0001049196094559419
ffn,consecutive3,22,24,60,1.0,1.0,1.1261960403002654e-05,1.0,1.0,0.000949694588011338,1.0,0.9999999999999999,0.0001353542136369359
ffn,consecutive3,23,25,60,1.0,1.0,1.674463253382005e-05,1.0,1.0,0.0007116980148182546,1.0,0.9999999999999999,0.00012096419359259314
ffn,consecutive3,24,26,60,1.0,1.0,2.039740040320122e-05,1.0,1.0,0.0008971615111039179,1.0,0.9999999999999999,0.00011382513606137202
ffn,consecutive3,25,27,60,1.0,1.0,2.582119271167032e-05,1.0,1.0,0.0012862872159526296,1.0,0.9999999999999999,0.00012161542393742932
ffn,consecutive3,26,28,60,1.0,1.0,3.721596265643754e-05,1.0,1.0,0.0011631921124125534,1.0,0.9999999999999999,0.0003518839457907856
ffn,consecutive3,27,29,60,1.0,1.0,3.6947520021460636e-05,1.0,1.0,0.0012659698894323113,1.0,0.9999999999999999,0.00024147771052835244
ffn,consecutive3,28,30,60,1.0,1.0,5.317393035619447e-05,1.0,1.0,0.0011497785423733899,1.0,0.9999999999999999,0.0003802493044219493
ffn,consecutive3,29,31,60,1.0,1.0,4.130331072335306e-05,1.0,1.0,0.0038032354579624677,1.0,0.9999999999999999,0.000512540843067568
ffn,consecutive3,30,32,60,1.0,1.0,4.127263358973321e-05,1.0,1.0,0.003814079688193461,1.0,0.9999999999999999,0.0009339690641185633
ffn,consecutive3,31,33,60,1.0,1.0,4.593367837990011e-05,1.0,1.0,0.0034404719703446337,1.0,0.9999999999999999,0.0010482372044166334
ffn,consecutive3,32,34,60,1.0,1.0,5.063473738305053e-05,1.0,1.0,0.006699806069033229,1.0,0.9999999999999999,0.0007758370555097913
ffn,consecutive3,33,35,60,1.0,1.0,8.690404228264283e-05,1.0,1.0,0.006622530901432963,1.0,0.9999999999999999,0.0034806513748638405
attn,consecutive3,2,4,60,1.0,1.0,1.039385287316023e-05,0.9999853027630805,0.9999863331966653,0.04930039625238256,1.0,0.9999999999999999,0.000887031637303029
ffn,single,4,4,30,1.0,1.0,0.00034972830867602094,0.9999706055261611,0.9999727668845316,0.12097371747350637,1.0,0.9999999999999999,0.005263289125964976
attn,single,1,1,60,1.0,1.0,0.00027594428533068684,0.9999559082892416,0.9999590494634067,0.07693664432115575,0.9999448853615521,0.9999524353120243,0.0356010081302145
attn,single,33,33,40,1.0,1.0,0.0009607682930921518,0.9999559082892416,0.9999592999593,0.04466188117917827,0.9997657627865961,0.9997977942954259,0.032830614597549046
attn,consecutive3,3,5,60,1.0,1.0,8.386555382815603e-06,0.9999559082892416,0.9999592999593,0.04544956296295825,1.0,0.9999999999999999,2.2361180667918754e-05
attn,single,3,3,60,1.0,1.0,7.464524438062781e-05,0.9999412110523223,0.9999459313327926,0.03881754063078802,1.0,0.9999999999999999,0.00023602196386747343
ffn,consecutive3,3,5,60,1.0,1.0,3.0242003386377444e-05,0.9999265138154028,0.9999316648626068,0.08018231010446475,1.0,0.9999999999999999,0.00021697239854895963
ffn,consecutive3,1,3,60,1.0,1.0,5.9764164911076046e-05,0.9998971193415638,0.9999036660106259,0.012271163323869868,1.0,0.9999999999999999,0.0006125652838781784
ffn,single,3,3,50,1.0,1.0,0.0005405153652904,0.9994855967078189,0.9995282549752715,0.027594524141754145,1.0,0.9999999999999999,0.00020810842458195792
ffn,consecutive3,2,4,60,1.0,1.0,2.9656780328693218e-05,0.9994121105232217,0.9994518574657354,0.06108420736238609,1.0,0.9999999999999999,0.0037078667317571243
ffn,single,2,2,60,1.0,1.0,0.0003430554479254569,0.9992357436801882,0.9992944227518626,0.05185484633466145,1.0,0.9999999999999999,0.004767270495615827
ffn,consecutive3,0,2,60,1.0,1.0,7.447047058139824e-05,0.9988095238095238,0.9988716999521955,0.04650909650535432,1.0,0.9999999999999999,0.0014575358139881276
ffn,single,1,1,60,1.0,1.0,0.0008335441677333547,0.993694885361552,0.9940702993352839,0.21177293807769013,1.0,0.9999999999999999,0.007333949305962658
attn,single,0,0,60,1.0,1.0,0.00021434826445383906,0.9752645502645503,0.9810957305521727,0.7245037349753094,1.0,0.9999999999999999,0.08637583811583473
ffn,single,0,0,55,1.0,1.0,0.0008016223558095824,0.9464285714285714,0.9629960003530657,0.7733898692689309,1.0,0.9999999999999999,0.0077232308381415034
